As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting Region,Statistical Area 2,Number of offences,Crime Type,Date
1/04/2026,2023,12,01 Homicide,0132 Driving causing death,Unknown,Unknown,Darwin,,1,Homicide,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Darwin,,46,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Palmerston,,16,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Alice Springs,,28,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Katherine,,14,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Tennant Creek,,5,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Nhulunbuy,,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,East Arnhem,5,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Elsey,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Gulf,7,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Howard Springs,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Humpty Doo,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Petermann - Simpson,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Tanami,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Thamarrurr,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Tiwi Islands,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Virginia,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Unknown ,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Darwin,,23,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Palmerston,,12,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Alice Springs,,60,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Katherine,,22,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Tennant Creek,,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Alligator,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Anindilyakwa,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Barkly,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Daly,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,East Arnhem,17,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Elsey,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Gulf,9,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Petermann - Simpson,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Sandover - Plenty,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Tanami,11,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Thamarrurr,10,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Tiwi Islands,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Victoria River,8,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Weddell,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,West Arnhem,13,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Yuendumu - Anmatjere,13,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Unknown ,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Darwin,,47,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Palmerston,,7,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Alice Springs,,19,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Katherine,,10,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Tennant Creek,,7,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Nhulunbuy,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Daly,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,East Arnhem,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Petermann - Simpson,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Sandover - Plenty,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Thamarrurr,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Victoria River,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Unknown ,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Darwin,,44,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Palmerston,,30,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Alice Springs,,45,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Katherine,,29,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Tennant Creek,,15,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Nhulunbuy,,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Alligator,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Anindilyakwa,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Barkly,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Daly,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,East Arnhem,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Elsey,9,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Gulf,9,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Humpty Doo,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Petermann - Simpson,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Sandover - Plenty,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Tanami,6,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Thamarrurr,9,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Tiwi Islands,5,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Victoria River,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Weddell,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,West Arnhem,9,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Yuendumu - Anmatjere,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Unknown ,7,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,No,No,Darwin,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,No,No,Palmerston,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,No,No,Alice Springs,,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,No,No,NT Balance,Virginia,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,No,Yes,Darwin,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,No,Yes,Alice Springs,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,No,Yes,NT Balance,Gulf,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,No,Yes,NT Balance,Tanami,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,Yes,No,Darwin,,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,Yes,No,Alice Springs,,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,Yes,No,Katherine,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,Yes,No,NT Balance,Daly,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,Yes,Yes,Darwin,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,Yes,Yes,Alice Springs,,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,022 Assault of a prescribed officer,Yes,Yes,Tennant Creek,,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,Darwin,,25,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,Palmerston,,8,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,Alice Springs,,14,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,Katherine,,5,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,Tennant Creek,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,Nhulunbuy,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,Barkly,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,East Arnhem,5,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,Elsey,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,Howard Springs,6,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,Petermann - Simpson,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,Sandover - Plenty,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,Thamarrurr,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,Tiwi Islands,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,Yuendumu - Anmatjere,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,No,NT Balance,Unknown ,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,Darwin,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,Palmerston,,7,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,Alice Springs,,8,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,Tennant Creek,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,NT Balance,Barkly,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,NT Balance,East Arnhem,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,NT Balance,Howard Springs,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,NT Balance,Humpty Doo,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,NT Balance,Petermann - Simpson,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,NT Balance,Tanami,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,NT Balance,Thamarrurr,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,No,Yes,NT Balance,Yuendumu - Anmatjere,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,No,Darwin,,15,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,No,Palmerston,,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,No,Alice Springs,,9,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,No,Katherine,,5,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,No,Tennant Creek,,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,No,NT Balance,Weddell,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,No,NT Balance,West Arnhem,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,Darwin,,6,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,Palmerston,,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,Alice Springs,,12,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,Katherine,,7,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,Tennant Creek,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,NT Balance,Alligator,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,NT Balance,Petermann - Simpson,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,NT Balance,Sandover - Plenty,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,NT Balance,Thamarrurr,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,NT Balance,Tiwi Islands,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,NT Balance,West Arnhem,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,023 Common Assault,Yes,Yes,NT Balance,Unknown ,2,Assault,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,Darwin,,19,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,Palmerston,,4,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,Alice Springs,,8,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,Tennant Creek,,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,Nhulunbuy,,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,NT Balance,Alligator,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,NT Balance,East Arnhem,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,NT Balance,Gulf,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,NT Balance,Howard Springs,2,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,NT Balance,Tiwi Islands,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,NT Balance,Victoria River,2,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,NT Balance,West Arnhem,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,031 Sexual assault of an adult,Unknown,Unknown,NT Balance,Unknown ,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,032 Sexual assault of a child,Unknown,Unknown,Palmerston,,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,032 Sexual assault of a child,Unknown,Unknown,Katherine,,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,032 Sexual assault of a child,Unknown,Unknown,NT Balance,Barkly,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,032 Sexual assault of a child,Unknown,Unknown,NT Balance,Tanami,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,"033, 034 Other child-related sexual offences",Unknown,Unknown,Darwin,,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,"033, 034 Other child-related sexual offences",Unknown,Unknown,Palmerston,,4,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,"033, 034 Other child-related sexual offences",Unknown,Unknown,Katherine,,2,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,"035, 039 Other sexual offences",Unknown,Unknown,Darwin,,3,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,"035, 039 Other sexual offences",Unknown,Unknown,Palmerston,,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,03 Sexual offences,"035, 039 Other sexual offences",Unknown,Unknown,NT Balance,Unknown ,1,Sexual Offences,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"041, 042, 043 Human trafficking, abduction, deprivation of liberty",Unknown,Unknown,Darwin,,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"041, 042, 043 Human trafficking, abduction, deprivation of liberty",Unknown,Unknown,NT Balance,Yuendumu - Anmatjere,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,Darwin,,12,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,Palmerston,,5,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,Alice Springs,,7,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,Katherine,,6,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,Nhulunbuy,,2,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Barkly,2,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Howard Springs,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Humpty Doo,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Petermann - Simpson,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Sandover - Plenty,4,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Tanami,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Thamarrurr,3,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Tiwi Islands,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Victoria River,2,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Yuendumu - Anmatjere,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,"044 Acts that threaten, harass or control",Unknown,Unknown,NT Balance,Unknown ,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,045 Driving causing serious injury,Unknown,Unknown,Alice Springs,,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,045 Driving causing serious injury,Unknown,Unknown,Katherine,,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,049 Other acts that harm or endanger persons,Unknown,Unknown,Darwin,,4,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,049 Other acts that harm or endanger persons,Unknown,Unknown,Palmerston,,2,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,049 Other acts that harm or endanger persons,Unknown,Unknown,Alice Springs,,6,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,049 Other acts that harm or endanger persons,Unknown,Unknown,Katherine,,1,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,049 Other acts that harm or endanger persons,Unknown,Unknown,NT Balance,Thamarrurr,2,Harm/Endanger,2023-12-01
1/04/2026,2023,12,04 Harm or endanger persons,049 Other acts that harm or endanger persons,Unknown,Unknown,NT Balance,Weddell,3,Harm/Endanger,2023-12-01
1/04/2026,2023,12,"05 Robbery, blackmail, and extortion",051 Robbery,Unknown,Unknown,Darwin,,16,Robbery/Extortion,2023-12-01
1/04/2026,2023,12,"05 Robbery, blackmail, and extortion",051 Robbery,Unknown,Unknown,Palmerston,,6,Robbery/Extortion,2023-12-01
1/04/2026,2023,12,"05 Robbery, blackmail, and extortion",051 Robbery,Unknown,Unknown,Alice Springs,,3,Robbery/Extortion,2023-12-01
1/04/2026,2023,12,"05 Robbery, blackmail, and extortion",051 Robbery,Unknown,Unknown,Katherine,,4,Robbery/Extortion,2023-12-01
1/04/2026,2023,12,"05 Robbery, blackmail, and extortion",051 Robbery,Unknown,Unknown,Tennant Creek,,4,Robbery/Extortion,2023-12-01
1/04/2026,2023,12,"05 Robbery, blackmail, and extortion",051 Robbery,Unknown,Unknown,NT Balance,Anindilyakwa,1,Robbery/Extortion,2023-12-01
1/04/2026,2023,12,"05 Robbery, blackmail, and extortion",051 Robbery,Unknown,Unknown,NT Balance,Yuendumu - Anmatjere,1,Robbery/Extortion,2023-12-01
1/04/2026,2023,12,"05 Robbery, blackmail, and extortion",051 Robbery,Unknown,Unknown,NT Balance,Unknown ,1,Robbery/Extortion,2023-12-01
1/04/2026,2023,12,"05 Robbery, blackmail, and extortion",052 Blackmail or other extortion,Unknown,Unknown,Nhulunbuy,,1,Robbery/Extortion,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,Darwin,,34,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,Palmerston,,15,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,Alice Springs,,115,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,Katherine,,19,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,Tennant Creek,,39,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,Nhulunbuy,,1,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Anindilyakwa,7,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Barkly,3,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,East Arnhem,6,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Howard Springs,1,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Humpty Doo,2,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Tanami,1,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Thamarrurr,1,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Tiwi Islands,2,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Victoria River,6,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Weddell,3,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,West Arnhem,5,Dwelling Burglary,2023-12-01
1/04/2026,2023,12,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",Unknown,Unknown,NT Balance,Yuendumu - Anmatjere,2,Dwelling Burglary,2023-12-01
